Part number;Mat;Fdn;d (mm);D (mm);Dd (mm);De (mm);Detol (mm);Dh (mm);Fn (N);Fntol (N);Lk (mm);L0 (mm);L0tol (mm);Ln (mm);sn (mm);S (mm);n (pc.);R (N/mm);Fndyn (N);Fndtol (N);Lndyn (mm);shdyn (mm);Gew (g);PG
D-036A;EN 10270-1;Closed;0.32;3.2;2.4;3.52;0.2;4;3.646;0.27;12.95;20.1;0.83;6.12;13.98;1.544;12.5;0.261;3.516;0.27;6.62;4.29;0.0927;B
D-037;EN 10270-1;Closed;0.32;3.2;2.4;3.52;0.2;4;3.538;0.26;24.26;28.6;1.17;8.52;20.08;1.503;18.5;0.176;3.408;0.26;9.26;6.57;0.131;B
D-037A;EN 10270-1;Closed;0.32;3.2;2.4;3.52;0.2;4;3.662;0.26;25.08;29.3;1.17;8.52;20.78;1.541;18.5;0.176;3.531;0.26;9.26;6.33;0.131;B
D-038;EN 10270-1;Closed;0.32;2.5;1.9;2.82;0.1;3.1;3.8;0.44; ;4.4;0.19;2.45;1.95;1.029;3.5;1.953;3.594;0.44;2.56;0.84;0.0275;B
D-038A;EN 10270-1;Closed;0.32;2.5;1.9;2.82;0.1;3.1;4.386;0.45; ;4.7;0.19;2.45;2.25;1.114;3.5;1.953;4.18;0.45;2.56;0.74;0.0275;B
D-039;EN 10270-1;Closed;0.32;2.5;1.9;2.82;0.1;3.1;4.081;0.4; ;6.5;0.27;3.22;3.28;1.036;5.5;1.243;3.866;0.39;3.39;1.24;0.0374;B
D-039A;EN 10270-1;Closed;0.32;2.5;1.9;2.82;0.1;3.1;4.454;0.4; ;6.8;0.27;3.22;3.58;1.091;5.5;1.243;4.239;0.4;3.39;1.14;0.0374;B
D-040;EN 10270-1;Closed;0.32;2.5;1.9;2.82;0.1;3.1;4.133;0.37; ;9.5;0.38;4.36;5.14;1.024;8.5;0.804;3.925;0.36;4.62;1.91;0.0524;B
D-040A;EN 10270-1;Closed;0.32;2.5;1.9;2.82;0.1;3.1;4.536;0.37; ;10;0.38;4.36;5.64;1.082;8.5;0.804;4.327;0.37;4.62;1.74;0.0524;B
D-041;EN 10270-1;Closed;0.32;2.5;1.9;2.82;0.1;3.1;4.219;0.35;5.9;13.6;0.52;5.89;7.71;1.024;12.5;0.547;4.009;0.35;6.27;2.74;0.0724;B
D-041A;EN 10270-1;Closed;0.32;2.5;1.9;2.82;0.1;3.1;4.547;0.35;7.36;14.2;0.52;5.89;8.31;1.072;12.5;0.547;4.337;0.35;6.27;2.53;0.0724;B
D-042;EN 10270-1;Closed;0.32;2.5;1.9;2.82;0.1;3.1;4.223;0.34;15.59;19.6;0.74;8.17;11.43;1.016;18.5;0.37;4.013;0.33;8.74;4.04;0.1024;B
D-042A;EN 10270-1;Closed;0.32;2.5;1.9;2.82;0.1;3.1;4.592;0.34;16.84;20.6;0.74;8.17;12.43;1.07;18.5;0.37;4.383;0.34;8.74;3.7;0.1024;B
D-042B;EN 10270-1;Closed;0.32;2;1.4;2.32;0.1;2.6;4.892;0.64; ;3.7;0.15;2.42;1.28;0.829;3.5;3.815;4.54;0.63;2.51;0.49;0.022;B
D-042C;EN 10270-1;Closed;0.32;2;1.4;2.32;0.1;2.6;5.198;0.57; ;5.3;0.2;3.16;2.14;0.818;5.5;2.428;4.856;0.57;3.3;0.73;0.03;B
D-042D;EN 10270-1;Closed;0.32;2;1.4;2.32;0.1;2.6;5.386;0.53; ;7.7;0.28;4.27;3.43;0.812;8.5;1.571;5.043;0.53;4.49;1.09;0.0419;B
D-042E;EN 10270-1;Closed;0.32;2;1.4;2.32;0.1;2.6;5.497;0.51;4.8;10.9;0.39;5.75;5.15;0.808;12.5;1.068;5.16;0.5;6.07;1.57;0.0579;B
D-042F;EN 10270-1;Closed;0.32;2;1.4;2.32;0.1;2.6;5.501;0.49;12.37;15.6;0.56;7.98;7.62;0.8;18.5;0.722;5.161;0.48;8.45;2.32;0.0819;B
D-042F-01;EN 10270-1;Closed;0.32;1.6;1;1.92;0.08;2.2;5.261;0.98; ;3.1;0.12;2.39;0.71;0.657;3.5;7.451;4.694;0.97;2.47;0.33;0.0176;B
D-042F-02;EN 10270-1;Closed;0.32;1.6;1;1.92;0.08;2.2;6.06;0.88; ;4.4;0.16;3.12;1.28;0.655;5.5;4.742;5.501;0.87;3.24;0.46;0.024;B
D-042F-03;EN 10270-1;Closed;0.32;1.6;1;1.92;0.08;2.2;6.4;0.81; ;6.3;0.23;4.21;2.09;0.647;8.5;3.068;5.83;0.8;4.4;0.68;0.0336;B
D-042F-04;EN 10270-1;Closed;0.32;1.6;1;1.92;0.08;2.2;6.322;0.77;3.78;8.7;0.32;5.67;3.03;0.632;12.5;2.086;5.738;0.76;5.95;1.01;0.0463;B
D-042F-05;EN 10270-1;Closed;0.32;1.6;1;1.92;0.08;2.2;6.606;0.74;9.92;12.54;0.45;7.85;4.69;0.635;18.5;1.41;6.034;0.73;8.26;1.43;0.0655;B
D-042F-08;EN 10270-1;Closed;0.4;6.6;5.7;7;0.35;7.9;4.17;0.38; ;10.5;0.9;2.46;8.04;5.378;1.75;0.518;4.08;0.51;2.63;1.77;0.0772;B
D-042F-09;EN 10270-1;Closed;0.4;6.6;5.7;7;0.35;7.9;4.104;0.36; ;15.5;1.1;3.06;12.44;5.354;2.75;0.33;4.011;0.44;3.34;2.85;0.0978;B
D-042F-10;EN 10270-1;Closed;0.4;6.6;5.7;7;0.35;7.9;4.073;0.33; ;20.5;1.4;3.66;16.84;5.333;3.75;0.242;3.982;0.4;4.04;3.93;0.1184;B
D-042G;EN 10270-1;Closed;0.4;6.6;5.7;7;0.35;7.9;4.25;0.38; ;25.2;1.59;4.12;21.08;5.378;4.5;0.202;4.159;0.38;4.57;4.52;0.1339;B
D-042H;EN 10270-1;Closed;0.4;6.6;5.7;7;0.35;7.9;4.254;0.36;15.29;35.8;2.09;5.32;30.48;5.354;6.5;0.14;4.162;0.35;5.98;6.51;0.1751;B
D-042J;EN 10270-1;Closed;0.4;6.6;5.7;7;0.35;7.9;4.256;0.33;47.65;57;3.09;7.74;49.26;5.333;10.5;0.086;4.164;0.33;8.8;10.65;0.2575;B
D-042J-01;EN 10270-1;Closed;0.4;5.6;4.8;6;0.25;6.6;4.051;0.42; ;12.9;0.85;3.35;9.55;3.4;3.5;0.424;3.933;0.42;3.63;3.17;0.0961;B
D-042J-02;EN 10270-1;Closed;0.4;5.6;4.8;6;0.25;6.6;4.14;0.38; ;19.8;1.17;4.47;15.33;3.418;5.5;0.27;4.023;0.38;4.9;4.86;0.1311;B
D-042J-03;EN 10270-1;Closed;0.4;5.6;4.8;6;0.25;6.6;4.204;0.35;12.46;30.2;1.65;6.14;24.06;3.435;8.5;0.175;4.087;0.35;6.81;7.38;0.1835;B
D-042J-04;EN 10270-1;Closed;0.4;5.6;4.8;6;0.25;6.6;4.245;0.34;35.17;44.1;2.29;8.37;35.73;3.448;12.5;0.119;4.127;0.33;9.36;10.73;0.2534;B
D-042J-05;EN 10270-1;Closed;0.4;5.6;4.8;6;0.25;6.6;4.253;0.32;59.06;64.7;3.24;11.72;52.98;3.443;18.5;0.08;4.136;0.32;13.17;15.93;0.3582;B
D-043;EN 10270-1;Closed;0.4;5;4.1;5.4;0.25;6;4.311;0.44; ;10.5;0.62;3.27;7.23;2.714;3.5;0.596;4.173;0.44;3.5;2.6;0.0858;B
D-043A;EN 10270-1;Closed;0.4;5;4.1;5.4;0.25;6;4.549;0.44; ;10.9;0.62;3.27;7.63;2.829;3.5;0.596;4.411;0.44;3.5;2.47;0.0858;B
D-044;EN 10270-1;Closed;0.4;5;4.1;5.4;0.25;6;4.311;0.39; ;15.7;0.86;4.34;11.36;2.673;5.5;0.379;4.173;0.39;4.7;4.09;0.117;B
D-044A;EN 10270-1;Closed;0.4;5;4.1;5.4;0.25;6;4.577;0.4; ;16.4;0.86;4.34;12.06;2.8;5.5;0.379;4.438;0.39;4.7;3.85;0.117;B
D-045;EN 10270-1;Closed;0.4;5;4.1;5.4;0.25;6;4.36;0.36; ;23.7;1.21;5.94;17.76;2.671;8.5;0.245;4.219;0.36;6.51;6.27;0.1638;B
D-045A;EN 10270-1;Closed;0.4;5;4.1;5.4;0.25;6;4.606;0.37; ;24.7;1.21;5.94;18.76;2.788;8.5;0.245;4.465;0.37;6.51;5.92;0.1638;B
D-046;EN 10270-1;Closed;0.4;5;4.1;5.4;0.25;6;4.228;0.34;23.31;33.4;1.68;8.07;25.33;2.592;12.5;0.167;4.088;0.34;8.91;9.47;0.2262;B
D-046A;EN 10270-1;Closed;0.4;5;4.1;5.4;0.25;6;2.495;0.31;23.31;33.4;2.38;11.27;22.13;1.751;18.5;0.113;2.356;0.3;12.51;19.3;0.3199;B
D-046B;EN 10270-1;Closed;0.4;5;4.1;5.4;0.25;6;4.628;0.35;26.71;35.8;1.68;8.07;27.73;2.784;12.5;0.167;4.488;0.35;8.91;8.64;0.2262;B
D-047;EN 10270-1;Closed;0.4;5;4.1;5.4;0.25;6;4.514;0.34;45.54;51.3;2.38;11.27;40.03;2.719;18.5;0.113;4.375;0.33;12.51;13.12;0.3199;B
D-047A;EN 10270-1;Closed;0.4;5;4.1;5.4;0.25;6;3.514;0.32;45.54;51.3;2.84;13.41;37.89;2.236;22.5;0.093;3.374;0.33;14.91;19.67;0.3823;B
D-047B;EN 10270-1;Closed;0.4;5;4.1;5.4;0.25;6;4.638;0.34;46.78;52.4;2.38;11.27;41.13;2.778;18.5;0.113;4.499;0.34;12.51;12.74;0.3199;B
D-047C;EN 10270-1;Closed;0.4;4.6;3.8;5;0.25;5.6;4.197;0.45; ;8.7;0.5;3.22;5.48;2.2;3.5;0.766;4.034;0.45;3.43;2.39;0.079;B
D-047D;EN 10270-1;Closed;0.4;4.6;3.8;5;0.25;5.6;4.601;0.41; ;13.7;0.69;4.26;9.44;2.309;5.5;0.487;4.443;0.41;4.58;3.47;0.1077;B
D-047E;EN 10270-1;Closed;0.4;4.6;3.8;5;0.25;5.6;4.85;0.38; ;21.2;0.97;5.81;15.39;2.376;8.5;0.315;4.69;0.38;6.32;5.09;0.1507;B
D-047F;EN 10270-1;Closed;0.4;4.6;3.8;5;0.25;5.6;4.996;0.36;22.13;31.2;1.35;7.89;23.31;2.416;12.5;0.214;4.836;0.36;8.64;7.27;0.2081;B
D-047G;EN 10270-1;Closed;0.4;4.6;3.8;5;0.25;5.6;5.097;0.35;40.77;46.2;1.91;11.01;35.19;2.443;18.5;0.145;4.937;0.35;12.11;10.48;0.2943;B
D-048;EN 10270-1;Closed;0.4;4;3.2;4.4;0.2;4.9;5.065;0.5; ;7.5;0.36;3.15;4.35;1.857;3.5;1.164;4.855;0.49;3.33;1.69;0.0687;B
D-048A;EN 10270-1;Closed;0.4;4;3.2;4.4;0.2;4.9;5.53;0.5; ;7.9;0.36;3.15;4.75;1.971;3.5;1.164;5.321;0.5;3.33;1.55;0.0687;B
D-049;EN 10270-1;Closed;0.4;4;3.2;4.4;0.2;4.9;5.223;0.45; ;11.2;0.49;4.15;7.05;1.855;5.5;0.741;5.016;0.44;4.43;2.58;0.0936;B
D-049A;EN 10270-1;Closed;0.4;4;3.2;4.4;0.2;4.9;5.594;0.45; ;11.7;0.49;4.15;7.55;1.945;5.5;0.741;5.386;0.45;4.43;2.41;0.0936;B
D-050;EN 10270-1;Closed;0.4;4;3.2;4.4;0.2;4.9;5.25;0.41; ;16.6;0.7;5.65;10.95;1.835;8.5;0.479;5.043;0.41;6.08;3.98;0.1311;B
D-050A;EN 10270-1;Closed;0.4;4;3.2;4.4;0.2;4.9;5.681;0.42; ;17.5;0.7;5.65;11.85;1.941;8.5;0.479;5.475;0.42;6.08;3.67;0.1311;B
D-051;EN 10270-1;Closed;0.4;4;3.2;4.4;0.2;4.9;5.363;0.4;14.45;24.1;0.96;7.65;16.45;1.848;12.5;0.326;5.157;0.39;8.28;5.72;0.181;B
D-051A;EN 10270-1;Closed;0.4;4;3.2;4.4;0.2;4.9;2.963;0.35;14.45;24.1;1.37;10.65;13.45;1.249;18.5;0.22;2.758;0.34;11.58;12.23;0.2559;B
D-051B;EN 10270-1;Closed;0.4;4;3.2;4.4;0.2;4.9;5.689;0.4;16.14;25.1;0.96;7.65;17.45;1.928;12.5;0.326;5.483;0.4;8.28;5.38;0.181;B
D-052;EN 10270-1;Closed;0.4;4;3.2;4.4;0.2;4.9;5.474;0.38;30.02;35.5;1.37;10.65;24.85;1.865;18.5;0.22;5.269;0.38;11.58;8.31;0.2559;B
D-052A;EN 10270-1;Closed;0.4;4;3.2;4.4;0.2;4.9;4.138;0.36;30.02;35.5;1.63;12.65;22.85;1.533;22.5;0.181;3.934;0.36;13.78;12.63;0.3058;B
D-052B;EN 10270-1;Closed;0.4;4;3.2;4.4;0.2;4.9;5.716;0.39;31.32;36.6;1.37;10.65;25.95;1.924;18.5;0.22;5.511;0.38;11.58;7.93;0.2559;B
D-052C;EN 10270-1;Closed;0.4;3.6;2.8;4;0.2;4.5;5.254;0.54; ;6.4;0.29;3.11;3.29;1.543;3.5;1.597;4.999;0.54;3.27;1.42;0.0618;B
D-052D;EN 10270-1;Closed;0.4;3.6;2.8;4;0.2;4.5;5.603;0.49; ;9.6;0.4;4.09;5.51;1.564;5.5;1.016;5.356;0.49;4.33;2.11;0.0843;B
D-052E;EN 10270-1;Closed;0.4;3.6;2.8;4;0.2;4.5;5.818;0.46; ;14.4;0.56;5.55;8.85;1.576;8.5;0.658;5.57;0.45;5.93;3.15;0.118;B
D-052F;EN 10270-1;Closed;0.4;3.6;2.8;4;0.2;4.5;5.944;0.44;11.33;20.8;0.78;7.51;13.29;1.584;12.5;0.447;5.697;0.43;8.06;4.53;0.1629;B
D-052G;EN 10270-1;Closed;0.4;3.6;2.8;4;0.2;4.5;6.031;0.42;25.16;30.4;1.1;10.44;19.96;1.589;18.5;0.302;5.783;0.42;11.26;6.61;0.2303;B
D-053;EN 10270-1;Closed;0.4;3.2;2.5;3.6;0.15;4;5.743;0.63; ;5.6;0.23;3.07;2.53;1.314;3.5;2.274;5.435;0.62;3.21;1.12;0.0549;B
D-053A;EN 10270-1;Closed;0.4;3.2;2.5;3.6;0.15;4;6.653;0.64; ;6;0.23;3.07;2.93;1.429;3.5;2.274;6.344;0.64;3.21;0.98;0.0549;B
D-054;EN 10270-1;Closed;0.4;3.2;2.5;3.6;0.15;4;6.177;0.57; ;8.3;0.32;4.03;4.27;1.327;5.5;1.447;5.861;0.56;4.25;1.65;0.0749;B
D-054A;EN 10270-1;Closed;0.4;3.2;2.5;3.6;0.15;4;6.756;0.57; ;8.7;0.32;4.03;4.67;1.4;5.5;1.447;6.44;0.57;4.25;1.51;0.0749;B
D-055;EN 10270-1;Closed;0.4;3.2;2.5;3.6;0.15;4;6.305;0.52; ;12.2;0.46;5.47;6.73;1.318;8.5;0.936;5.993;0.52;5.8;2.5;0.1049;B
D-055A;EN 10270-1;Closed;0.4;3.2;2.5;3.6;0.15;4;6.867;0.53; ;12.8;0.46;5.47;7.33;1.388;8.5;0.936;6.554;0.53;5.8;2.3;0.1049;B
D-056;EN 10270-1;Closed;0.4;3.2;2.5;3.6;0.15;4;6.38;0.5;7.53;17.4;0.63;7.38;10.02;1.312;12.5;0.637;6.068;0.5;7.87;3.64;0.1448;B
D-056A;EN 10270-1;Closed;0.4;3.2;2.5;3.6;0.15;4;3.076;0.43;7.53;17.4;0.89;10.25;7.15;0.886;18.5;0.43;2.762;0.43;10.98;6.42;0.2047;B
D-056B;EN 10270-1;Closed;0.4;3.2;2.5;3.6;0.15;4;6.953;0.51;9.68;18.3;0.63;7.38;10.92;1.384;12.5;0.637;6.641;0.5;7.87;3.33;0.1448;B
D-057;EN 10270-1;Closed;0.4;3.2;2.5;3.6;0.15;4;6.432;0.48;20.1;25.2;0.89;10.25;14.95;1.308;18.5;0.43;6.122;0.48;10.97;5.35;0.2047;B
D-057A;EN 10270-1;Closed;0.4;3.2;2.5;3.6;0.15;4;4.611;0.45;20.1;25.2;1.07;12.16;13.04;1.076;22.5;0.354;4.298;0.44;13.05;8.27;0.2447;B
D-057B;EN 10270-1;Closed;0.4;3.2;2.5;3.6;0.15;4;6.991;0.49;21.72;26.5;0.89;10.25;16.25;1.378;18.5;0.43;6.677;0.49;10.98;4.9;0.2047;B
D-057C;EN 10270-1;Closed;0.4;2.8;2.1;3.2;0.15;3.5;7.349;0.61;5.95;15;0.52;7.27;7.73;1.12;12.5;0.95;6.938;0.6;7.7;2.66;0.1267;B
D-057D;EN 10270-1;Closed;0.4;2.8;2.1;3.2;0.15;3.5;7.147;0.59;11.99;18;0.63;8.68;9.32;1.097;15.5;0.766;6.737;0.59;9.21;3.4;0.1529;B
D-057E;EN 10270-1;Closed;0.4;2.8;2.1;3.2;0.15;3.5;7.01;0.58;16.23;21;0.74;10.08;10.92;1.081;18.5;0.642;6.595;0.58;10.73;4.13;0.1791;B
D-058;EN 10270-1;Closed;0.4;2.7;1.9;3.1;0.15;3.4;7.184;0.66; ;12;0.43;6.31;5.69;1.048;10.5;1.262;6.739;0.65;6.66;2.18;0.1053;B
D-059;EN 10270-1;Closed;0.4;2.5;1.8;2.9;0.1;3.2;6.095;0.92; ;4.3;0.17;3.02;1.28;0.943;3.5;4.769;5.58;0.91;3.13;0.73;0.0429;B
D-059A;EN 10270-1;Closed;0.4;2.5;1.8;2.9;0.1;3.2;8.002;0.95; ;4.7;0.17;3.02;1.68;1.057;3.5;4.769;7.487;0.89;3.13;0.59;0.0429;B
D-060;EN 10270-1;Closed;0.4;2.5;1.8;2.9;0.1;3.2;7.135;0.83; ;6.3;0.24;3.95;2.35;0.964;5.5;3.035;6.616;0.82;4.12;1.03;0.0585;B
D-060A;EN 10270-1;Closed;0.4;2.5;1.8;2.9;0.1;3.2;8.349;0.85; ;6.7;0.24;3.95;2.75;1.036;5.5;3.035;7.83;0.84;4.12;0.89;0.0585;B
D-061;EN 10270-1;Closed;0.4;2.5;1.8;2.9;0.1;3.2;7.189;0.77; ;9;0.33;5.34;3.66;0.941;8.5;1.964;6.657;0.76;5.61;1.58;0.0819;B
D-061A;EN 10270-1;Closed;0.4;2.5;1.8;2.9;0.1;3.2;8.367;0.78; ;9.6;0.33;5.34;4.26;1.012;8.5;1.964;7.835;0.78;5.61;1.37;0.0819;B
D-062;EN 10270-1;Closed;0.4;2.5;1.8;2.9;0.1;3.2;7.621;0.73;2.56;12.9;0.46;7.19;5.71;0.952;12.5;1.335;7.09;0.72;7.59;2.21;0.1131;B
D-062A;EN 10270-1;Closed;0.4;2.5;1.8;2.9;0.1;3.2;2.64;0.63;2.56;12.9;0.65;9.97;2.93;0.643;18.5;0.902;2.111;0.62;10.56;2.34;0.1599;B
D-062B;EN 10270-1;Closed;0.4;2.5;1.8;2.9;0.1;3.2;8.555;0.75;5.93;13.6;0.46;7.19;6.41;1.008;12.5;1.335;8.025;0.74;7.59;1.97;0.1131;B
D-063;EN 10270-1;Closed;0.4;2.5;1.8;2.9;0.1;3.2;7.693;0.71;14.16;18.5;0.65;9.97;8.53;0.946;18.5;0.902;7.164;0.7;10.56;3.24;0.1599;B
D-063A;EN 10270-1;Closed;0.4;2.5;1.8;2.9;0.1;3.2;4.95;0.65;14.16;18.5;0.78;11.83;6.67;0.778;22.5;0.742;4.421;0.65;12.54;5.21;0.1911;B
D-063B;EN 10270-1;Closed;0.4;2.5;1.8;2.9;0.1;3.2;8.595;0.72;15.46;19.5;0.65;9.97;9.53;1;18.5;0.902;8.066;0.71;10.56;2.9;0.1599;B
D-063C;EN 10270-1;Closed;0.4;2;1.3;2.4;0.1;2.7;8.453;1.45; ;3.9;0.14;2.99;0.91;0.829;3.5;9.314;7.545;1.43;3.09;0.41;0.0343;B
D-063D;EN 10270-1;Closed;0.4;2;1.3;2.4;0.1;2.7;9.469;1.3; ;5.5;0.19;3.9;1.6;0.818;5.5;5.927;8.595;1.28;4.05;0.58;0.0468;B
D-063E;EN 10270-1;Closed;0.4;2;1.3;2.4;0.1;2.7;9.713;1.19; ;7.8;0.27;5.27;2.53;0.8;8.5;3.835;8.821;1.18;5.5;0.87;0.0655;B
D-063F;EN 10270-1;Closed;0.4;2;1.3;2.4;0.1;2.7;9.943;1.13;4.8;10.9;0.37;7.09;3.81;0.792;12.5;2.608;9.05;1.01;7.43;1.25;0.0905;B
D-063G;EN 10270-1;Closed;0.4;2;1.3;2.4;0.1;2.7;10.19;1.09;12.37;15.6;0.53;9.82;5.78;0.789;18.5;1.762;9.287;1.08;10.33;1.81;0.1279;B
D-063H;EN 10270-1;Closed;0.4;1.8;1.1;2.2;0.1;2.5;17.816;1.52;9.77;13;0.34;8.02;4.98;0.96;12.5;3.578;14.668;1.45;8.9;0.52;0.0814;B
D-063H-01;EN 10270-1;Closed;0.4;1.3;0.7;1.7;0.1;1.9;1.283;0.4; ;3;0.14;2.96;0.04;0.571;3.5;33.916;5.427;0.27;2.84;0.16;0.0223;B
D-063H-02;EN 10270-1;Closed;0.4;1.3;0.7;1.7;0.1;1.9;7.449;0.59; ;4.2;0.16;3.85;0.35;0.582;5.5;21.583;4.748;0.45;3.98;0.22;0.0304;B
D-063H-03;EN 10270-1;Closed;0.4;1.3;0.7;1.7;0.1;1.9;14.051;0.84; ;6.2;0.2;5.19;1.01;0.612;8.5;13.966;11.312;0.71;5.39;0.33;0.0426;B
D-063H-04;EN 10270-1;Closed;0.4;1.3;0.7;1.7;0.1;1.9;15.392;0.86;5.9;8.6;0.22;6.98;1.62;0.608;12.5;9.497;12.63;0.72;7.27;0.43;0.0588;B
D-063H-05;EN 10270-1;Closed;0.4;1.3;0.7;1.7;0.1;1.9;17.599;0.94;10.77;12.4;0.3;9.66;2.74;0.616;18.5;6.417;14.822;0.8;10.09;0.54;0.0832;B
D-063H-08;EN 10270-1;Closed and ground;0.5;11;9.9;11.5;0.4;12.3;1.159;0.5; ;8.5;2.25;3.05;5.45;3.556;2.25;0.213;1.059;0.5;3.52;4.9;0.228;B
D-063H-09;EN 10270-1;Closed and ground;0.5;11;9.9;11.5;0.4;12.3;1.216;0.46; ;10.5;2.55;3.51;6.99;3.636;2.75;0.174;1.117;0.47;4.08;6;0.2548;B
D-063H-10;EN 10270-1;Closed and ground;0.5;11;9.9;11.5;0.4;12.3;1.408;0.48; ;14.5;0.8;4.2;10.3;4;3.5;0.137;1.308;0.48;4.93;9.5;0.295;B
D-063H-11;EN 10270-1;Closed and ground;0.5;11;9.9;11.5;0.4;12.3;1.425;0.43; ;22.4;1.8;6.02;16.38;3.982;5.5;0.087;1.326;0.43;7.16;15.24;0.4023;B
D-063H-12;EN 10270-1;Closed and ground;0.5;11;9.9;11.5;0.4;12.3;1.409;0.4; ;33.8;2.1;8.76;25.04;3.918;8.5;0.056;1.31;0.4;10.52;23.28;0.5632;B
D-063H-13;EN 10270-1;Closed and ground;0.5;11;9.9;11.5;0.4;12.3;1.416;0.38; ;49.4;2.8;12.41;36.99;3.912;12.5;0.038;1.317;0.38;14.99;34.41;0.7777;B
D-063H-14;EN 10270-1;Closed and ground;0.5;11;9.9;11.5;0.4;12.3;1.459;0.36;52.4;74.3;4;17.89;56.41;3.989;18.5;0.026;1.36;0.36;21.71;52;1.0995;B
D-063H-20;EN 10270-1;Closed and ground;0.5;8;6.9;8.5;0.35;9.6;2.946;0.64; ;8;1.08;2.67;5.33;3.33;2.25;0.553;2.797;0.64;2.94;5.01;0.1658;B
D-063H-21;EN 10270-1;Closed and ground;0.5;8;6.9;8.5;0.35;9.6;4.504;0.62; ;13;1.23;3.04;9.96;4.54;2.75;0.452;4.346;0.62;3.39;4.94;0.1853;B
D-063H-22;EN 10270-1;Closed and ground;0.5;8;6.9;8.5;0.35;9.6;5.583;0.61; ;18;1.37;3.41;14.59;5.38;3.25;0.383;5.434;0.61;3.8;4.73;0.2048;B
D-063J;EN 10270-1;Closed and ground;0.5;8;6.9;8.5;0.35;9.6;7.036;0.62; ;23.4;1.44;3.6;19.8;6.543;3.5;0.355;6.886;0.61;4.02;3.9;0.2145;B
D-063K;EN 10270-1;Closed and ground;0.5;8;6.9;8.5;0.35;9.6;6.946;0.55; ;35.8;1.98;5.08;30.72;6.418;5.5;0.226;6.795;0.55;5.75;6.3;0.2926;B
D-063L;EN 10270-1;Closed and ground;0.5;8;6.9;8.5;0.35;9.6;6.866;0.5;47.03;60.5;3.06;8.05;52.45;6.316;9.5;0.131;6.715;0.5;9.2;11.15;0.4486;B
D-063M;EN 10270-1;Closed and ground;0.5;8;6.9;8.5;0.35;9.6;6.828;0.48;90.02;97.6;4.67;12.5;85.1;6.265;15.5;0.08;6.186;0.47;20.5;20.03;0.6826;B
D-063N;EN 10270-1;Closed and ground;0.5;7.1;6.1;7.6;0.35;8.4;5.868;0.61; ;15;1.03;3.45;11.55;4.143;3.5;0.508;5.688;0.61;3.81;4.34;0.1904;B
D-063O;EN 10270-1;Closed and ground;0.5;7.1;6.1;7.6;0.35;8.4;5.868;0.55; ;23;1.43;4.86;18.14;4.091;5.5;0.323;5.69;0.54;5.41;6.99;0.2596;B
D-063P;EN 10270-1;Closed and ground;0.5;7.1;6.1;7.6;0.35;8.4;5.868;0.51; ;35;2.01;6.96;28.04;4.059;8.5;0.209;5.689;0.51;7.82;10.54;0.3635;B
D-063Q;EN 10270-1;Closed and ground;0.5;7.1;6.1;7.6;0.35;8.4;5.868;0.48;43.4;55;2.98;10.47;44.53;4.037;13.5;0.132;5.689;0.48;11.83;16.69;0.5366;B
D-063Q-01;EN 10270-1;Closed and ground;0.5;7;6;7.5;0.3;8.4;8.253;0.65; ;19;0.99;3.44;15.56;5.286;3.5;0.53;8.072;0.65;3.78;2.78;0.1877;B
D-063Q-03;EN 10270-1;Closed and ground;0.5;7;6;7.5;0.3;8.4;4.48;0.69; ;8;0.75;2.57;5.43;3.333;2.25;0.825;4.298;0.68;2.79;3.32;0.1451;B
D-063Q-04;EN 10270-1;Closed and ground;0.5;7;6;7.5;0.3;8.4;6.129;0.67; ;12;0.85;2.92;9.08;4.182;2.75;0.675;5.947;0.66;3.19;3.21;0.1621;B
D-063R;EN 10270-1;Closed and ground;0.5;6.3;5.4;6.8;0.25;7.5;6.213;0.73; ;8;0.56;2.51;5.49;3.333;2.25;1.132;5.998;0.73;2.7;2.27;0.1306;B
D-063S;EN 10270-1;Closed and ground;0.5;6.3;5.4;6.8;0.25;7.5;7.556;0.7; ;11;0.64;2.84;8.16;3.818;2.75;0.926;7.343;0.7;3.07;2.28;0.1459;B
D-064;EN 10270-1;Closed and ground;0.5;6.3;5.4;6.8;0.25;7.5;7.391;0.65; ;13.5;0.75;3.34;10.16;3.714;3.5;0.728;7.174;0.65;3.64;2.98;0.169;B
D-065;EN 10270-1;Closed and ground;0.5;6.3;5.4;6.8;0.25;7.5;7.093;0.58; ;20;1.03;4.68;15.32;3.545;5.5;0.463;6.875;0.58;5.15;4.9;0.2304;B
D-066;EN 10270-1;Closed and ground;0.5;6.3;5.4;6.8;0.25;7.5;6.984;0.54; ;30;1.45;6.69;23.31;3.471;8.5;0.3;6.767;0.54;7.41;7.69;0.3225;B
D-067;EN 10270-1;Closed and ground;0.5;6.3;5.4;6.8;0.25;7.5;7.056;0.51;32.12;44;2.01;9.36;34.64;3.48;12.5;0.204;6.841;0.51;10.42;11.18;0.4454;B
D-067A;EN 10270-1;Closed and ground;0.5;6.3;5.4;6.8;0.25;7.5;4.215;0.4;32.12;44;2.84;13.38;30.62;2.351;18.5;0.138;4;0.45;14.94;23.66;0.6297;B
D-068;EN 10270-1;Closed and ground;0.5;6.3;5.4;6.8;0.25;7.5;7.105;0.5;57.79;65;2.84;13.38;51.62;3.486;18.5;0.138;6.89;0.49;14.94;16.4;0.6297;B
